time,x,y,z,qx,qy,qz,qw
1658333879.3273416,0.43494288322755326,0.09223310712423083,0.5242485220882883,0.5058058186047477,0.5075349877034669,0.5271958483283766,0.45676388608092255
1658333879.3373346,0.4352419083415915,0.09229839594095929,0.524928189070685,0.5059345905898728,0.5074666050347213,0.5270823595050441,0.456828218390444
1658333879.3527184,0.43554574480728414,0.09231285806717274,0.5256426556756171,0.5060756667124743,0.5073533107002042,0.5269269462702076,0.4569770573862766
1658333879.3575585,0.43581523364707475,0.0923709784734857,0.526362805936363,0.5062201137171521,0.5072378765663218,0.5267935302512844,0.4570990150176124
1658333879.367949,0.43609401494038086,0.09247702662051495,0.5270273804434147,0.5063701908118232,0.5071659631937301,0.5266701585843252,0.45715474370472803
1658333879.377665,0.4363833559143722,0.09264117819086845,0.527630373625049,0.5065265423350327,0.5071488029648601,0.5265668415907816,0.4571195848993287
1658333879.3882673,0.4366666384247785,0.09272538213772463,0.528249094789142,0.5067139687186608,0.5070511179992,0.5264062832394529,0.4572051428048139
1658333879.397735,0.43693112866537087,0.09284418617958815,0.5288976253975953,0.5068744640349586,0.5069397789348055,0.5262749585211302,0.4573018765283896
1658333879.4081643,0.43715154555528746,0.09299507522868376,0.5296433695357678,0.506916171170827,0.506815910714017,0.526180166445501,0.45750197867551917
1658333879.4173217,0.43733756917542543,0.09320273963079603,0.530385616321026,0.5069349016202511,0.5067132626633719,0.5261186872477335,0.45766560050874316
1658333879.4274082,0.43755899326896486,0.09340172820589315,0.5310418408141208,0.5070224523178838,0.5066399949741623,0.5260259074150351,0.457756368679158
1658333879.4378126,0.4378061093261243,0.09362538827646724,0.5316094106358762,0.5071621663728688,0.5065855975349609,0.5259341461006988,0.4577672370708215
1658333879.4482653,0.4380458029668298,0.0938300640287456,0.5321942244771848,0.5073086168336357,0.5065079804024699,0.5257993986915839,0.4578456349147856
1658333879.4576435,0.4383103041396371,0.09404558993310237,0.5327914328465971,0.5074568873376794,0.5064306383384632,0.525658450767186,0.4579287162678186
1658333879.4680684,0.43854494836388247,0.09431225192784133,0.5334112115849379,0.5075041557352198,0.5063651631421123,0.5255835205500574,0.458034732737323
1658333879.4778895,0.4387615613682628,0.09458324749876634,0.5340014465260177,0.5076364416061611,0.5062817699293549,0.5255007563659482,0.45807528600596936
1658333879.4876645,0.43902306421655585,0.09486332419018835,0.5345206449035752,0.5077904293774304,0.5062278862837074,0.5253877061918563,0.4580938388189417
1658333879.4984157,0.4392878497080878,0.09513132428643457,0.5350327711307463,0.5079417589949629,0.506169172969228,0.5252542537834938,0.458143980302149
1658333879.509318,0.4395194800671639,0.09543886292784245,0.5355048810797275,0.508139485924492,0.5061282592308879,0.5251265757349175,0.45811628164607304
1658333879.518218,0.4397257813972285,0.09577472348477624,0.5360592214276427,0.5082377667523407,0.5060673567787157,0.5250472412737964,0.45816546932344554
1658333879.5276365,0.4399034016279304,0.09611920116863704,0.5366749135094376,0.5082692440262971,0.5059585226298882,0.5249969151245285,0.4583083984227717
1658333879.5394957,0.4400590314079788,0.09648746519884072,0.5373085124507316,0.508292840413276,0.505852598197686,0.5249599014270463,0.45844153299516843
1658333879.5481045,0.4402325756571899,0.0969009657462577,0.5378882895724983,0.5082960363553861,0.5058156705603272,0.5249154240991245,0.45852965485761865
1658333879.5585465,0.44044161101929247,0.0972512625195745,0.5383566448979284,0.508447468527778,0.5057391199256615,0.5248161556821014,0.4585598293130049
1658333879.5677474,0.44067077907808516,0.09765652841429025,0.5387737301030752,0.5086036608045984,0.5057225076989694,0.5247106357437379,0.4585256919303751
1658333879.5776544,0.4408519075814924,0.09805658275637766,0.539272515654819,0.5087220153126423,0.505646150508731,0.5246292753532251,0.4585717011049586
1658333879.592414,0.4410633614357603,0.09849527380177073,0.5397352327515461,0.5088445242934906,0.5055987563198889,0.5245584000150108,0.4585691143960798
1658333879.5986936,0.4412625611036718,0.09891618952217668,0.540247121454474,0.5089271210461334,0.5055309214790901,0.5244789195399882,0.45864314652065047
1658333879.6085744,0.4414533802852515,0.09937880306205686,0.5407614412799626,0.5089822997956337,0.5054654975268142,0.52442899517199,0.45871110552025496
1658333879.6208353,0.4416532678294418,0.09969438658214597,0.5410957671789355,0.5091079411893191,0.5054165332980273,0.5243283873429104,0.45874063948309585
1658333879.6276267,0.44188880697937516,0.10028598142740713,0.5416023135222544,0.5092603637310388,0.505393707947916,0.5242417533542271,0.4586956136036974
1658333879.6378431,0.4420575289539256,0.1007548158686513,0.5420401374864182,0.5093918692120482,0.5053260455584537,0.5241415389691122,0.45873866022824156
1658333879.6504872,0.44226149908212437,0.10135538259978176,0.5426201933638751,0.5094673217290625,0.5052498677049402,0.5240765031242507,0.4588130753884567
1658333879.657671,0.4423953576723092,0.10181696092976798,0.5429616741793416,0.5095048256878639,0.5052421183673793,0.5240827136244031,0.45877286723225547
1658333879.6679442,0.4425299492753527,0.10240618461575866,0.543428482723061,0.5095327433579762,0.5052280320859995,0.5240790252333459,0.45876158770222797
1658333879.677807,0.44271187736880313,0.1029063619486021,0.5438487965557639,0.5096375782080388,0.5051800899875815,0.5239887239134663,0.4588010819188652
1658333879.687242,0.44288640806228086,0.10347885133439959,0.5442806271274216,0.5096988854652945,0.505148665638427,0.5239638941791168,0.4587959343278979
1658333879.701022,0.44305114840683657,0.1039703846172891,0.5446964157403211,0.5098324004244446,0.5050578970285277,0.5238693345088425,0.45885549412405696
1658333879.707918,0.44324154227370366,0.10453552557032908,0.5450514097231732,0.5099359449407446,0.505058339340757,0.5237919243872052,0.4588283185097616
