time,x,y,z,qx,qy,qz,qw
1658329955.2482994,0.4961557036772092,-0.0879153995120199,0.6089504964985272,0.4504023778105571,0.4833453592323258,0.5422668531937886,0.5190969290011991
1658329955.258386,0.49614997441844144,-0.08792421862119866,0.6089725111406058,0.45042122310514215,0.4833231336146815,0.542250915752982,0.5191179197970388
1658329955.2693498,0.49616101078171826,-0.0878918052502198,0.6089608875089259,0.45041373172312354,0.4833482437744069,0.5422824992829587,0.5190680461046262
1658329955.2787223,0.49614204279117496,-0.08789887634161102,0.6089965857582335,0.45037800194638405,0.4833452085670911,0.5422553898502319,0.5191301926264654
1658329955.2887173,0.4961477462881778,-0.08788842231779376,0.6090011686752719,0.45037653904280917,0.48334907712181396,0.542259204272405,0.5191238754932874
1658329955.3002455,0.4961510020286176,-0.08791913078358983,0.6089984801706936,0.45041087458845874,0.48332811519419744,0.542259594882887,0.5191131946625241
1658329955.3090215,0.4961369967555691,-0.08788205682135669,0.6090328898817489,0.45036583561666477,0.4833428130915698,0.5422537061848212,0.5191447363412798
1658329955.319392,0.4961293395629842,-0.08791406691069464,0.6090509542414234,0.4503767622392315,0.4833151805872903,0.5422317916152678,0.5191838714853132
1658329955.3296592,0.49613529127933853,-0.08788210748233855,0.6090500981249732,0.4503755304928789,0.4833312385023007,0.5422517438545481,0.519149151697074
1658329955.3382392,0.49612807434225936,-0.08787666769581357,0.6090596274359417,0.4503675116876984,0.48334233763419077,0.5422435975783261,0.5191542833800573
1658329955.3488903,0.49613679067134714,-0.08790134335703088,0.6090508195846975,0.45041338901252026,0.4833185735137165,0.5422523389793774,0.5191274760271476
1658329955.3597429,0.49613071056259783,-0.08786534558660464,0.6090791443922016,0.4503633035077802,0.48333941650148027,0.5422565219741864,0.5191471541730979
1658329955.3682227,0.49612886723144983,-0.08783179840506462,0.6090967716781152,0.4503434270400346,0.4833434995690678,0.5422758134265204,0.519140444695623
1658329955.3787138,0.49613106946872604,-0.08791969968556172,0.6090867617149628,0.45041931847018496,0.4832913097298958,0.5422239017548488,0.5191774146225587
1658329955.3886576,0.4961269823508597,-0.08785859948070814,0.6091120398253939,0.4503582804072227,0.4833263219831727,0.5422521495834942,0.5191682694646773
1658329955.398498,0.49613393046368487,-0.08787473270917552,0.6091063550922359,0.45038526737456397,0.4833143508727088,0.5422576452199775,0.5191502628073298
1658329955.4090672,0.49612767272501246,-0.08784667107120589,0.6091223289029098,0.45036560865139447,0.48333675145345006,0.5422399667345552,0.519164927276673
1658329955.4194376,0.4961253628113949,-0.08784934141524692,0.6091422447961543,0.4503799491019172,0.48330478187460035,0.5422566300805964,0.5191648451096573
1658329955.4319363,0.4961180541488192,-0.08784468940954177,0.6091561846897385,0.4503732741526991,0.48330564846805785,0.542240801161016,0.5191863611884535
1658329955.439262,0.4961385757656643,-0.08784366772180967,0.6091464799693372,0.4503781559962808,0.4833081779483916,0.5422628986005488,0.5191566916942575
1658329955.44889,0.49612728233560976,-0.08786718114197287,0.6091591692606605,0.45038104386303407,0.48329988680484726,0.5422322610257811,0.5191939038992418
1658329955.4585664,0.4961357899065807,-0.08784728019045852,0.6091669263341208,0.4503996406248548,0.4832855765729269,0.5422606590855296,0.5191614323211062
1658329955.470815,0.49614090211008643,-0.08782060900421504,0.6091637929145447,0.45036620631840246,0.4833246880261209,0.5422628278839299,0.519151761671042
1658329955.4792392,0.496139745358981,-0.08786064144369327,0.6091660341652116,0.4504011465657937,0.4832916166871165,0.5422469680258653,0.5191688030678727
1658329955.4886785,0.49612813141811596,-0.08782650434722092,0.609202316998707,0.4503505638883282,0.4832991014101322,0.5422437004276786,0.519209126969203
1658329955.4988775,0.4961310386862551,-0.08778482870553103,0.6092105254030848,0.4503398208440303,0.4833187622034524,0.5422675181132797,0.5191752677695205
1658329955.5099592,0.4961346319619886,-0.0878037711219298,0.6092113441047394,0.4503683557657293,0.4832976875381811,0.5422678249858217,0.5191698135776639
1658329955.5189223,0.49615099849826827,-0.08784125800418127,0.6091950126510403,0.4503981824112866,0.4832744923094452,0.5422634410705967,0.5191701097346928
1658329955.5285156,0.4961681842260902,-0.08781268069682198,0.6091781542368176,0.45038935872658303,0.48331553095417995,0.5422704737204694,0.5191322147731869
1658329955.5401978,0.49616551551165833,-0.08777869096993453,0.6092009231547446,0.4503802483864961,0.4833046592016754,0.5422899291101944,0.5191299173067672
1658329955.548439,0.49615565946341617,-0.08775332121522258,0.6092190332186229,0.4503510264130339,0.4833211301184553,0.5422926343363256,0.5191371080305417
1658329955.5621831,0.49615300285968966,-0.08776234169343838,0.6092384990424368,0.45033723638713247,0.4833091503812827,0.5422782410124884,0.5191752575049432
1658329955.5684516,0.49615605074629504,-0.08772817951907888,0.6092436830025866,0.4503378475904096,0.48331932516519804,0.5422920373339354,0.5191508443542242
1658329955.582613,0.4961587174326934,-0.08775340045016117,0.609241776325509,0.45037550085730355,0.48329865349519885,0.542288426117904,0.5191411972246349
1658329955.5911515,0.4961668311613642,-0.08774689741599677,0.6092503698575067,0.45036073541957344,0.48329801185434984,0.5422917177283276,0.5191511654742126
1658329955.6002069,0.4961649947405783,-0.08770465993582144,0.6092570056425103,0.45035064553256304,0.4833135829808424,0.5423141457349866,0.5191219932832318
1658329955.6085339,0.49617382448154546,-0.08770388495710094,0.6092690033928579,0.45035343990314985,0.48329611962373775,0.5423037072539191,0.519146731688348
1658329955.6186886,0.49616776193400125,-0.08769249577405226,0.6092815361974023,0.45032826603088283,0.48331246354468743,0.5422953698439432,0.5191620625987657
